,Date of Creation,Content,hashtags,User
1131,2023-04-09 23:14:33+00:00,@arusio4 You are all bitter just because Arsenal is about to  end your Golden era legacy!,N/A,AFCMajor
1132,2023-04-09 23:14:28+00:00,@premierleague Arsenal,N/A,jakamakarim
1133,2023-04-09 23:14:25+00:00,Arsenal are in big trouble,N/A,jega_10
1134,2023-04-09 23:14:25+00:00,"@Chellio8 @Dayton_Coates @davidhogg111 Yes you have a right to vote. Just as much as the right to bare arms. But you don't need a military arsenal in your house. As long as you have your licenses &amp; are responsible go for it, &amp; no an AR-15 is not an assault rifle.",N/A,AndyMilelli
1135,2023-04-09 23:14:24+00:00,@HarrisonNwak It’s not. I used to be of this opinion too - thought Ramsdale was an unnecessary signing for eg - but truth is when you watch a keeper who is good with the ball at his feet it’s something extra to add to your Arsenal as football is now a game of tiny details.,N/A,swaynkaayyy
1136,2023-04-09 23:14:22+00:00,@Dinnydavinci @OlisaOsega They (Arsenal) are playing Westham and Southampton. Two teams battling relegation. Those games might pose a threat than Brighton n Newcastle for them,N/A,Dankin4real
1137,2023-04-09 23:14:21+00:00,"@All_ThingsTHFC You’re a strange individual, Arsenal in fact 👍🏻",N/A,PaxtonRoadN17
1138,2023-04-09 23:14:21+00:00,Buh this club is making noise for us😥😥,N/A,HaddyTrisha
1139,2023-04-09 23:14:15+00:00,"MOTD2: Did Xhaka booking change the game at Anfield? - https://t.co/FfhdxD42Kd{ 
Match of the Day 2 pundits Stephen Warnock and Ian Wright think Granit Xhaka's brief loss of discipline woke up the Anfield crowd as league leaders Arsenal surrendered a two-goal lead to draw 2-2 ...",N/A,isearch247
1140,2023-04-09 23:14:15+00:00,"Arsenal did that nasty little thing today of giving me real, genuine hope and then snatching it away.",N/A,mischawatson
1141,2023-04-09 23:14:13+00:00,"@Abzziee1 @terryflewers Jealous of who ? Arsenal lmao imagine the irony that a Manchester United fan is jealous of arsenal 😂😂😂😂 have some shame if I want to be jealous it should be against Madrid, Bayern Munich, and other successful teams around the world not a mid table team that have no history",N/A,Undefeated_I
1142,2023-04-09 23:14:13+00:00,"@ari_nze0 city have only lost twice at the etihad all season. they’ve beaten chelsea, liverpool, arsenal, united, spurs, newcastle at the etihad this season but sure “they don’t have that home@juice like other teams” 😂",N/A,brebre24194082
1143,2023-04-09 23:14:11+00:00,@JCenere @ArsenalBuzzCom But we were good for about 40 mins so we can build on that moving forward,N/A,adabrepascal
1144,2023-04-09 23:14:11+00:00,"Fucking hell. Arsenal have just two games before the April 26 trip to the Etihad, Man. City have 4, including two games against Bayern Munich. https://t.co/YLzubuJXKA",N/A,Gooner4Laif
1145,2023-04-09 23:14:09+00:00,I #VoteBouanga for @MLS Player of the Matchday!,['VoteBouanga'],Maribel86262503
1146,2023-04-09 23:14:06+00:00,"@Rickymoniz777 Same same same. I’ve been here for 19 years and I can’t root for Arsenal, it goes against my religion. 😂 sorry not sorry. Arsene vs Fergie those were the days.",N/A,1790Maria
1147,2023-04-09 23:14:05+00:00,"@wotoporously I watched the game and I know well what happened arsenal faced Liverpool twice this year win at home draw at anfield after being leading with 2 goals, yes Liverpool stepped up and played better second half and managed to get back and get a point which is fair I think",N/A,3mrshaaban
1148,2023-04-09 23:14:04+00:00,"Mikel Arteta hailed Aaron Ramsdale for producing ""magic moments"" that could be pivotal in the Premier League title race after Arsenal's 2-2 draw at Liverpool on Sunday.

The Arsenal goalkeeper produced a trio of expert saves to deny Liverpool a late winner https://t.co/f4R0lGFxZW",N/A,KwabenaMickey6
1149,2023-04-09 23:14:01+00:00,@ChuksAO @FansTribeHQ I don’t want arsenal to win the league cry,N/A,godboyNG
