,Date of Creation,Content,hashtags,User
927,2023-03-19 23:07:42+00:00,"@OK_Loyal_RFC @las_rsc Was out in Vegas last October and after a full day out on the drink, ubered it up alone to the eagles lodge for Rangers match at 4am then on to crown and anchor for Arsenal at 6.30am, back to hotel and wife at 11am. Took a solid 10 years of my life but luckily she let me live 😂",N/A,TonicMcWinerson
928,2023-03-19 23:07:41+00:00,I #VoteAlmada for @MLS Player of the Matchday!,['VoteAlmada'],fmnayeem
929,2023-03-19 23:07:40+00:00,"@Set_To_Fail @UnitedStandMUFC That’s true But After the second goal we took our foot off the gas. City, Arsenal &amp; Liverpool would have annihilated a 9 man Fullham with attack after attack in those 25 mins. Go look how Utd moved the ball in those 25 minutes. The team doesn’t have the same ferocity as City &amp; co",N/A,TheUglyTruthZA
930,2023-03-19 23:07:38+00:00,@AmabrotherHenry @citizenofManUtd @UgwunnaEjikem No talk that thing again boss . Maybe na arsenal him Dey,N/A,Presh_melanin
931,2023-03-19 23:07:37+00:00,"How every @Arsenal fan is feeling right now 😂🔴⚪
#COYG #AFC","['COYG', 'AFC']",OliverMason1
932,2023-03-19 23:07:33+00:00,I #VoteMoreno for @MLS Player of the Matchday!,['VoteMoreno'],alexhoward78
933,2023-03-19 23:07:30+00:00,@saltimes Can’t wait for city to win it and humble you Arsenal scum.,N/A,TheReelSamcho
934,2023-03-19 23:07:28+00:00,@Jayp6181 @Arsenal Didn’t watch the game only just seen highlights. Must say I cringed seeing Holding doing that tackle half way in palace half in build up to Zaha hitting post at 0:0. Would’ve hoped he’d learn he doesn’t need to commit himself@so high up the pitch!,N/A,JonBooth_74
935,2023-03-19 23:07:26+00:00,@afc__victor Acting like majority of Arsenal fans in LDN aren't from Africa,N/A,Ron7ii
936,2023-03-19 23:07:25+00:00,@gabimartinelli @Arsenal You will surely get tired one day,N/A,skilleddominant
937,2023-03-19 23:07:25+00:00,@arsenaloFka @Arsenal Happy birthday Anita 🎉🥳 and happy Mother’s Day,N/A,Catblack04
